data-cosecha_manual-actividad1-informacion_m-cultivo,data-cosecha_manual-actividad1-informacion_m-realizo_actividad,data-cosecha_manual-actividad1-informacion_m-fecha,data-cosecha_manual-actividad1-realizada,data-cosecha_manual-actividad1-otra_actividad,data-cosecha_manual-actividad1-utilizo_implemento,data-cosecha_manual-actividad1-mas_de_un_implemento-numero_implementos,data-cosecha_manual-actividad1-mas_de_un_implemento-implemento_utilizado,data-cosecha_manual-actividad1-jornal-numero_personas_participaron,data-cosecha_manual-actividad1-jornal-costo_dia,data-cosecha_manual-actividad1-jornal-jornadas_utilizadas,data-cosecha_manual-actividad1-jornal-duracion,data-cosecha_manual-actividad1-jornal-tipo_costo,data-cosecha_manual-actividad1-descripcion1,PARENT_KEY,KEY
Papa,si,25/01/22,cosecha, ,si,1,otro,12,35,5,8,estimado,Se realizo la cosecha durante 15 días,uuid:a2ce2e70-d2d2-40dc-a45a-7eab2b385cd9,uuid:a2ce2e70-d2d2-40dc-a45a-7eab2b385cd9/actividad1[1]
Papa,si,10/02/22,acarreo, ,no, , ,4,30,4,2,estimado,Se realizo después de cada jornada de cosecha,uuid:a2ce2e70-d2d2-40dc-a45a-7eab2b385cd9,uuid:a2ce2e70-d2d2-40dc-a45a-7eab2b385cd9/actividad1[2]
Papa,si,12/02/22,cosecha, ,si,1,otro,15,35,7,8,estimado,Sin novedad,uuid:5f7806c8-4c80-4b37-99dd-42148bfe88a7,uuid:5f7806c8-4c80-4b37-99dd-42148bfe88a7/actividad1[1]
Papa,si,19/02/22,acarreo, ,no, , ,4,35,2,4,estimado,"Se hizo el acarreo de la papa que dejaron para consumo y semilla, lo resto vendieron el chacra",uuid:5f7806c8-4c80-4b37-99dd-42148bfe88a7,uuid:5f7806c8-4c80-4b37-99dd-42148bfe88a7/actividad1[2]
Papa,si,08/02/22,cosecha, ,si,2,otro,13,35,6,8,estimado,Sin novedad,uuid:cf140139-b1d4-4f85-a28e-e76cf4363317,uuid:cf140139-b1d4-4f85-a28e-e76cf4363317/actividad1[1]
Papa,no,14/02/22,acarreo, ,no, , ,3,30,2,4,estimado,"Se realizo el acarreo de papa para consumo, lo resto se vendió en chacra",uuid:cf140139-b1d4-4f85-a28e-e76cf4363317,uuid:cf140139-b1d4-4f85-a28e-e76cf4363317/actividad1[2]
Papa,si,20/01/22,cosecha, ,si,1,otro,5,35,2,8,estimado,Sin novedad,uuid:dcb6e54d-a683-4930-92d4-2fd31b98d4c7,uuid:dcb6e54d-a683-4930-92d4-2fd31b98d4c7/actividad1[1]
Papa,si,21/01/22,acarreo, ,no, , ,2,30,1,4,estimado,Se realizo al hombro y con ayuda de vestias,uuid:dcb6e54d-a683-4930-92d4-2fd31b98d4c7,uuid:dcb6e54d-a683-4930-92d4-2fd31b98d4c7/actividad1[2]
Papa,si,13/02/22,cosecha, ,si,1,otro,5,35,2,8,estimado,Sin novedad,uuid:65abd4ae-8b58-47f3-a343-e69a8d3482e8,uuid:65abd4ae-8b58-47f3-a343-e69a8d3482e8/actividad1[1]
Papa,si,14/02/22,acarreo, ,no, , ,2,30,1,4,estimado,Se realizo al hombro después de cada jornada de cosecha,uuid:65abd4ae-8b58-47f3-a343-e69a8d3482e8,uuid:65abd4ae-8b58-47f3-a343-e69a8d3482e8/actividad1[2]
Papa,si,10/02/22,cosecha, ,si,1,otro,5,35,12,8,estimado, ,uuid:cdbeeb67-feb5-4c67-ba12-e64077a01428,uuid:cdbeeb67-feb5-4c67-ba12-e64077a01428/actividad1[1]
Papa,si,21/02/22,acarreo, ,no, , ,5,35,2,4,estimado,"Se acarreando que se va consumir y para semillas, lo resto se vende en chacra",uuid:cdbeeb67-feb5-4c67-ba12-e64077a01428,uuid:cdbeeb67-feb5-4c67-ba12-e64077a01428/actividad1[2]
Papa,si,05/02/22,cosecha, ,si,1,otro,7,35,3,8,estimado,Sin novedad,uuid:77fb8414-1bc5-4988-8997-404779c94049,uuid:77fb8414-1bc5-4988-8997-404779c94049/actividad1[1]
Papa,si,07/02/22,acarreo, ,no, , ,2,35,2,3,estimado,Se realizo el acarreo después de cada jornada,uuid:77fb8414-1bc5-4988-8997-404779c94049,uuid:77fb8414-1bc5-4988-8997-404779c94049/actividad1[2]
Papa,si,15/02/22,cosecha, ,si,1,otro,6,35,3,8,estimado, ,uuid:bdbbcc2c-0826-491a-b65f-2a39fa4591f4,uuid:bdbbcc2c-0826-491a-b65f-2a39fa4591f4/actividad1[1]
Papa,si,17/02/22,acarreo, ,no, , ,2,30,2,4,estimado,Se realizo con ayuda de vehículo,uuid:bdbbcc2c-0826-491a-b65f-2a39fa4591f4,uuid:bdbbcc2c-0826-491a-b65f-2a39fa4591f4/actividad1[2]
Papa,si,26/01/22,cosecha, ,si,1,otro,6,35,5,8,estimado, ,uuid:925e73ff-3519-4541-a27d-41f119cd988e,uuid:925e73ff-3519-4541-a27d-41f119cd988e/actividad1[1]
Papa,si,30/01/22,acarreo, ,no, , ,4,30,2,3,estimado,Se realizo con ayuda de movilidad,uuid:925e73ff-3519-4541-a27d-41f119cd988e,uuid:925e73ff-3519-4541-a27d-41f119cd988e/actividad1[2]
Papa,si,02/02/22,cosecha, ,si,1,otro,3,35,3,8,estimado,Sin novedad,uuid:d9141fe1-f863-4c0d-b6dd-b8fa996c3418,uuid:d9141fe1-f863-4c0d-b6dd-b8fa996c3418/actividad1[1]
Papa,si,05/02/22,acarreo, ,no, , ,3,30,1,4,estimado,Se realizo con ayuda de vestias,uuid:d9141fe1-f863-4c0d-b6dd-b8fa996c3418,uuid:d9141fe1-f863-4c0d-b6dd-b8fa996c3418/actividad1[2]
Papa,si,07/02/22,cosecha, ,si,1,otro,2,35,3,8,estimado,Se realizo la cosecha sin novedad,uuid:925533df-285a-4167-a533-407a38fd52ac,uuid:925533df-285a-4167-a533-407a38fd52ac/actividad1[1]
Papa,si,14/02/22,acarreo, ,no, , ,2,25,3,1,estimado,Se realizo el acarreo después de cada jornada,uuid:925533df-285a-4167-a533-407a38fd52ac,uuid:925533df-285a-4167-a533-407a38fd52ac/actividad1[2]
Papa,si,07/02/22,cosecha, ,si,1,otro,2,35,3,8,estimado,Sin novedad,uuid:62d87746-c94f-49cd-81fa-1dfa52d695f3,uuid:62d87746-c94f-49cd-81fa-1dfa52d695f3/actividad1[1]
Papa,si,14/02/22,acarreo, ,no, , ,2,25,3,1,estimado,Se realizo el acarreo después de cada jornada,uuid:62d87746-c94f-49cd-81fa-1dfa52d695f3,uuid:62d87746-c94f-49cd-81fa-1dfa52d695f3/actividad1[2]
Papa,si,25/01/22,cosecha, ,si,1,otro,2,35,20,8,estimado,Se realizo durante 20 días con dos personas diarias,uuid:98891e70-d3b7-4455-abce-8a4e8cda38b7,uuid:98891e70-d3b7-4455-abce-8a4e8cda38b7/actividad1[1]
Papa,si,15/02/22,acarreo, ,no, , ,4,35,2,4,estimado,"Se realizo el acarreo de lo que se va consumir y semilla, lo resto se vende en chacra",uuid:98891e70-d3b7-4455-abce-8a4e8cda38b7,uuid:98891e70-d3b7-4455-abce-8a4e8cda38b7/actividad1[2]
Papa,si,15/02/22,cosecha, ,si,1,otro,10,35,7,8,estimado, ,uuid:06032468-3593-472e-9478-45336ade1664,uuid:06032468-3593-472e-9478-45336ade1664/actividad1[1]
Papa,si,24/02/22,acarreo, ,no, , ,4,35,3,6,estimado,Se realizo con ayuda de camioneta,uuid:06032468-3593-472e-9478-45336ade1664,uuid:06032468-3593-472e-9478-45336ade1664/actividad1[2]
Papa,si,03/02/22,corte_follaje, ,si,2,"hoz, machete",2,30,1,4,estimado,No cortó toda la parcela,uuid:708c60c8-ae3a-42dd-9267-c117e2c852c4,uuid:708c60c8-ae3a-42dd-9267-c117e2c852c4/actividad1[1]
Papa,si,18/02/22,cosecha, ,si,2,otro,6,35,8,8,estimado, ,uuid:708c60c8-ae3a-42dd-9267-c117e2c852c4,uuid:708c60c8-ae3a-42dd-9267-c117e2c852c4/actividad1[2]
Papa,si,25/02/22,acarreo, ,no, , ,4,35,4,4,estimado,Se realizo el acarreo después de cada jornada,uuid:708c60c8-ae3a-42dd-9267-c117e2c852c4,uuid:708c60c8-ae3a-42dd-9267-c117e2c852c4/actividad1[3]
Papa,si,23/02/22,cosecha, ,si,1,otro,1,35,5,8,estimado,Se cosechó en varios días,uuid:61b8198b-5f60-4a41-af8a-2c6a1a898ccc,uuid:61b8198b-5f60-4a41-af8a-2c6a1a898ccc/actividad1[1]
Papa,si,28/02/22,acarreo, ,no, , ,2,25,3,1,estimado,"Se realizo el acarreo después de cada jornada, otro resto se vende en chacra",uuid:61b8198b-5f60-4a41-af8a-2c6a1a898ccc,uuid:61b8198b-5f60-4a41-af8a-2c6a1a898ccc/actividad1[2]
Papa,si,01/03/22,cosecha, ,si,1,otro,4,35,4,8,estimado,Sin novedad,uuid:8092bacc-af9d-46bd-bb92-d6472f816bdf,uuid:8092bacc-af9d-46bd-bb92-d6472f816bdf/actividad1[1]
Papa,si,04/03/22,acarreo, ,no, , ,2,25,3,3,estimado,Se realizo el acarreo después de cada jornada,uuid:8092bacc-af9d-46bd-bb92-d6472f816bdf,uuid:8092bacc-af9d-46bd-bb92-d6472f816bdf/actividad1[2]
Papa,si,20/02/22,cosecha, ,si,1,otro,4,35,4,8,estimado,Sin novedad,uuid:957c3c28-b898-4c4b-bef1-71ffc33ebb5b,uuid:957c3c28-b898-4c4b-bef1-71ffc33ebb5b/actividad1[1]
Papa,no,24/02/22,acarreo, ,no, , ,2,35,2,2,estimado,Se realizo con ayuda de bestias,uuid:957c3c28-b898-4c4b-bef1-71ffc33ebb5b,uuid:957c3c28-b898-4c4b-bef1-71ffc33ebb5b/actividad1[2]
Papa,si,25/02/22,cosecha, ,si,1,otro,2,35,2,8,estimado,Sin novedad,uuid:4dd3b68f-3174-4d4f-8d4a-e50971a4b2f8,uuid:4dd3b68f-3174-4d4f-8d4a-e50971a4b2f8/actividad1[1]
Papa,si,26/02/22,acarreo, ,no, , ,2,20,2,2,estimado,Se realizo después de cada jornada,uuid:4dd3b68f-3174-4d4f-8d4a-e50971a4b2f8,uuid:4dd3b68f-3174-4d4f-8d4a-e50971a4b2f8/actividad1[2]
