data-cultivo1-nombre,data-cultivo1-trabajo_comunal,data-cultivo1-obtuvo_producto,data-cultivo1-factores_no_cosecha-se_debio,data-cultivo1-factores_no_cosecha-otro_factor,data-cultivo1-factores_no_cosecha-factores_ambientales,data-cultivo1-factores_no_cosecha-otro_factor_ambiental,data-cultivo1-factores_no_cosecha-factores_manejo,data-cultivo1-factores_no_cosecha-otro_factor_manejo,data-cultivo1-fecha_cosecha-inicio,data-cultivo1-fecha_cosecha-termino,data-cultivo1-momento_cosecha,data-cultivo1-especifique_momento_cosecha,data-cultivo1-foto_cosecha,PARENT_KEY,KEY
Papa,cosecha,si, , , , , , ,22/06/21,28/06/21,madurez_fisiologica, , ,uuid:3898e5c7-e29e-4179-aeca-5fd157b79dea,uuid:3898e5c7-e29e-4179-aeca-5fd157b79dea/cultivo1[1]
Papa,cosecha,si, , , , , , ,20/06/21,22/06/21,madurez_fisiologica, ,https://drive.google.com/open?id=1bgnl4mnfgxC_Klu5IYwMHDxBkvkXAxXW,uuid:3898e5c7-e29e-4179-aeca-5fd157b79dea,uuid:3898e5c7-e29e-4179-aeca-5fd157b79dea/cultivo1[2]
Papa,"cosecha, siembra, preparacion_terreno",si, , , , , , ,21/06/21,23/06/21,madurez_fisiologica, ,https://drive.google.com/open?id=1KOaJBZoWdANA4LQNSAOyTjvQ5NakJ1-B,uuid:323a4290-6e7b-43cd-9fb1-5bb843896d6e,uuid:323a4290-6e7b-43cd-9fb1-5bb843896d6e/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,25/06/21,26/06/21,madurez_fisiologica, ,https://drive.google.com/open?id=19To5iv2ZTUQwye2KQmkuPOWuzsb3s9xV,uuid:36c1e69a-f0a5-4905-9d3b-a193717cd632,uuid:36c1e69a-f0a5-4905-9d3b-a193717cd632/cultivo1[1]
Papa,"siembra, cosecha",si, , , , , , ,15/06/21,20/06/21,metodo_tradicional_local,Porque se secó por la helada,https://drive.google.com/open?id=18ylj1nwzD7KC1izRwiU98hOAxS-l5fPr,uuid:120d969a-6927-43dc-9137-44edffc3cd9e,uuid:120d969a-6927-43dc-9137-44edffc3cd9e/cultivo1[1]
Papa,siembra,si, , , , , , ,28/06/21,30/06/21,plagas_o_enfermedades, ,https://drive.google.com/open?id=1ZKmIn9bO-jADmtt6jjAigENC-qflpqjo,uuid:016ba68d-cf41-4c37-aca3-952351ff3aeb,uuid:016ba68d-cf41-4c37-aca3-952351ff3aeb/cultivo1[1]
Papa,"siembra, cosecha",si, , , , , , ,21/06/21,26/06/21,madurez_fisiologica, ,https://drive.google.com/open?id=12Q5X99gemKKe2ux10N0FqabdAv8JUOPx,uuid:089fcf22-2892-4953-84bd-8226c037c1e9,uuid:089fcf22-2892-4953-84bd-8226c037c1e9/cultivo1[1]
Papa,siembra,si, , , , , , ,20/06/21,15/07/21,condiciones_agroclimaticas, ,https://drive.google.com/open?id=1HcbpBzrJQmEZ-mTMVAL0tzbgSEnaf163,uuid:e2cee274-e325-45e1-b7b7-89ef107cac11,uuid:e2cee274-e325-45e1-b7b7-89ef107cac11/cultivo1[1]
Papa,"siembra, cosecha",si, , , , , , ,10/06/21,11/06/21,condiciones_agroclimaticas, ,https://drive.google.com/open?id=1y_g_PS15c2aETwewyUha_VNfA7ZCAhgj,uuid:cf70b570-e01b-46b5-8422-d336c776807b,uuid:cf70b570-e01b-46b5-8422-d336c776807b/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,24/06/21,26/06/21,madurez_fisiologica, ,https://drive.google.com/open?id=1Vn07CpdWfYOH4HLgXRv1hlK9h6bdV_13,uuid:0bba722a-3bbb-4dff-ae8c-aa67cf43c20c,uuid:0bba722a-3bbb-4dff-ae8c-aa67cf43c20c/cultivo1[1]
