data-productividad-producto-producto_obtenido,data-productividad-producto-rendimiento_estimado,data-productividad-producto-rendimiento_real,data-productividad-producto-porcentaje_venta,data-productividad-producto-destinado_autoconsumo,data-productividad-producto-destinado_a_semilla,data-productividad-producto-vendio_producto,data-productividad-producto-precio_venta,PARENT_KEY,KEY
primera,6,5,100,0,0,si,1.16,uuid:5fff7e1c-f277-4817-9db9-688780d88b05,uuid:5fff7e1c-f277-4817-9db9-688780d88b05/producto[1]
segunda,3,2,100,0,0,si,1.10,uuid:5fff7e1c-f277-4817-9db9-688780d88b05,uuid:5fff7e1c-f277-4817-9db9-688780d88b05/producto[2]
tercera,6,5.8,0,80,20,no, ,uuid:5fff7e1c-f277-4817-9db9-688780d88b05,uuid:5fff7e1c-f277-4817-9db9-688780d88b05/producto[3]
primera,7.5,7.2,100,0,0,si,1.10,uuid:1033dfb5-db40-4d58-8a22-c6656f2387e8,uuid:1033dfb5-db40-4d58-8a22-c6656f2387e8/producto[1]
primera,7.5,7.2,100,0,0,si,1,uuid:1033dfb5-db40-4d58-8a22-c6656f2387e8,uuid:1033dfb5-db40-4d58-8a22-c6656f2387e8/producto[2]
tercera,4,3.6,0,80,20,no, ,uuid:1033dfb5-db40-4d58-8a22-c6656f2387e8,uuid:1033dfb5-db40-4d58-8a22-c6656f2387e8/producto[3]
primera,14,12.9,70,20,10,si,1.10,uuid:624ea885-98ea-4b5b-a317-8c50bf51f30e,uuid:624ea885-98ea-4b5b-a317-8c50bf51f30e/producto[1]
segunda,4,3,70,20,10,si,0.75,uuid:87494211-794a-4333-9f29-77610ecda159,uuid:87494211-794a-4333-9f29-77610ecda159/producto[1]
segunda,2,1.5,80,20,0,si,1.10,uuid:12fd2117-d758-4273-9468-8376305cb661,uuid:12fd2117-d758-4273-9468-8376305cb661/producto[1]
tercera,1,0.72,0,80,20,no, ,uuid:12fd2117-d758-4273-9468-8376305cb661,uuid:12fd2117-d758-4273-9468-8376305cb661/producto[2]
primera,8,7.2,100,0,0,si,1.25,uuid:0a86d401-c1c4-41f8-b226-b4567e35509f,uuid:0a86d401-c1c4-41f8-b226-b4567e35509f/producto[1]
segunda,8,7.2,30,60,10,si,1.1,uuid:0a86d401-c1c4-41f8-b226-b4567e35509f,uuid:0a86d401-c1c4-41f8-b226-b4567e35509f/producto[2]
primera,3,2.3,100,0,0,si,1.1,uuid:e329184b-48cd-43e0-a581-4bff57cb1cb6,uuid:e329184b-48cd-43e0-a581-4bff57cb1cb6/producto[1]
tercera,1,0.72,0,80,20,no, ,uuid:e329184b-48cd-43e0-a581-4bff57cb1cb6,uuid:e329184b-48cd-43e0-a581-4bff57cb1cb6/producto[2]
primera,3,2.5,50,50,0,si,1.2,uuid:52e9198d-96eb-4013-b4fe-04c5e4bad861,uuid:52e9198d-96eb-4013-b4fe-04c5e4bad861/producto[1]
tercera,1,0.72,0,80,20,no, ,uuid:52e9198d-96eb-4013-b4fe-04c5e4bad861,uuid:52e9198d-96eb-4013-b4fe-04c5e4bad861/producto[2]
primera,6,5,100,0,0,si,1.25,uuid:c7ff79f6-4356-4296-8102-423344c46e3d,uuid:c7ff79f6-4356-4296-8102-423344c46e3d/producto[1]
tercera,2,1.5,0,90,10,no, ,uuid:c7ff79f6-4356-4296-8102-423344c46e3d,uuid:c7ff79f6-4356-4296-8102-423344c46e3d/producto[2]
